caseId,nytSalience,cqSalience
1956-061,0,0
1956-062,0,0
1956-063,0,0
1956-064,0,0
1956-065,0,0
1956-066,0,0
1956-067,0,0
1956-068,0,0
1956-069,0,0
1956-070,0,0
1956-071,0,0
1956-072,0,0
1956-073,0,0
1956-074,0,0
1956-075,0,0
1956-076,0,0
1956-077,1,0
1956-078,1,0
1956-079,0,0
1956-080,0,0
1956-081,0,0
1956-082,1,0
1956-083,0,0
1956-084,0,0
1956-085,0,0
1956-086,0,0
1956-087,0,0
1956-088,1,0
1956-089,0,0
1956-090,0,0
1956-091,0,0
1956-092,0,0
1956-093,0,0
1956-094,0,0
1956-095,0,0
1956-096,0,0
1956-097,1,0
1956-098,1,0
1956-099,0,0
1956-100,0,0
1956-101,1,0
1956-102,0,0
1956-103,0,0
1956-104,0,0
1956-105,0,0
1956-106,0,0
1956-107,0,0
1956-108,1,1
1956-109,1,0
1956-110,0,0
1956-111,0,0
1956-112,0,0
1956-113,1,1
1956-120,0,0
1956-121,1,0
1956-122,0,0
1956-123,0,0
1956-124,0,0
1956-125,0,0
1956-126,1,0
1956-127,0,1
1956-128,0,0
1956-129,1,1
1956-130,0,0
1956-131,0,0
1956-132,0,0
1956-133,1,0
1957-001,0,0
1957-002,0,0
1957-003,0,0
1957-004,0,0
1957-005,1,0
1957-006,1,0
1957-007,0,0
1957-008,0,0
1957-009,0,0
1957-010,0,0
1957-011,0,0
1957-012,0,0
1957-013,1,0
1957-014,0,0
1957-015,0,0
1957-016,0,0
1957-017,0,0
1957-018,0,0
1957-019,0,0
1957-020,0,0
1957-021,0,0
1957-022,1,0
1957-023,0,0
1957-024,0,0
1957-025,0,0
1957-026,0,0
1957-027,0,0
1957-028,0,0
1957-029,0,0
1957-030,0,0
1957-031,0,0
1957-032,0,0
1957-033,1,0
1957-034,1,0
1957-035,0,0
1957-036,0,0
1957-037,0,0
1957-038,0,0
1957-039,0,0
1957-040,0,0
1957-041,0,0
1957-042,0,0
1957-043,0,0
1957-044,0,0
1957-045,0,0
1957-046,0,0
1957-047,0,0
1957-048,0,0
1957-049,0,0
1957-050,0,0
1957-051,0,0
1957-052,1,0
1957-053,0,0
1957-054,0,0
1957-055,0,0
1957-056,0,0
1957-057,1,0
1957-058,0,0
1957-059,0,0
1957-060,0,0
1957-061,0,0
1957-062,0,0
1957-063,0,0
1957-064,0,0
1957-065,0,0
1957-066,0,0
1957-067,0,0
1957-068,0,0
1957-069,0,0
1957-070,0,0
1957-071,0,0
1957-072,0,1
1957-073,0,0
1957-074,1,0
1957-075,0,0
1957-076,0,0
1957-077,0,0
1957-078,0,0
1957-079,0,0
1957-080,0,0
1957-081,0,0
1957-082,0,0
1957-083,0,0
1957-084,0,0
1957-085,0,0
1957-086,0,0
1957-087,0,0
1957-088,0,0
1957-089,0,0
1957-090,0,0
1957-091,0,0
1957-092,0,0
1957-093,0,0
1957-094,0,0
1957-095,0,0
1957-096,1,0
1957-097,0,0
1957-098,0,0
1957-099,0,0
1957-100,0,0
1957-101,0,0
1957-102,0,0
1957-103,0,0
1957-104,0,0
1957-105,1,0
1957-106,1,0
1957-107,0,0
1957-108,0,0
1957-109,0,0
1957-110,1,0
1957-111,0,0
1957-112,0,0
1957-113,0,0
1957-114,0,0
1957-115,0,0
1957-116,0,0
1957-117,0,0
1957-118,0,0
1957-119,0,0
1957-120,1,0
1957-121,1,1
1957-122,1,0
1957-123,0,0
1957-124,0,0
1957-125,0,0
1957-126,0,0
1957-127,0,0
1957-128,0,0
1957-129,0,0
1957-130,0,0
1957-131,1,0
1957-132,0,0
1957-133,1,0
1957-134,0,0
1957-135,0,0
1957-136,1,1
1957-137,0,0
1957-138,0,0
1957-139,0,0
1957-140,0,0
1957-141,0,0
1957-142,0,0
1957-143,0,0
1957-144,0,0
1957-145,0,0
1957-146,1,1
1957-147,0,0
1957-148,0,0
1957-149,0,0
1957-150,0,0
1957-151,0,0
1957-152,0,0
1957-153,0,0
1957-154,0,0
1957-155,0,0
1958-001,0,0
1958-002,1,1
1958-003,0,0
1958-004,0,0
1958-005,0,0
1958-006,0,0
1958-007,0,0
1958-008,0,0
1958-009,0,0
1958-010,0,0
1958-011,0,0
1958-012,0,0
1958-013,0,0
1958-014,0,0
1958-015,0,0
1958-016,1,0
1958-017,0,0
1958-018,0,0
1958-019,0,0
1958-020,0,0
1958-021,0,0
1958-022,1,0
1958-023,0,0
1958-024,0,0
1958-025,0,0
1958-026,0,0
1958-027,0,0
1958-028,1,0
1958-029,0,0
1958-030,0,0
1958-031,0,0
1958-032,0,0
1958-033,0,0
1958-034,0,0
1958-035,0,0
1958-036,0,0
1958-037,0,0
1958-038,0,0
1958-039,0,0
1958-040,0,0
1958-041,1,0
1958-042,0,0
1958-043,0,0
1958-044,0,0
1958-045,0,0
1958-046,1,0
1958-047,0,0
1958-048,0,0
1958-049,0,0
1958-050,0,0
1958-051,0,0
1958-052,0,0
1958-053,0,0
1958-054,0,0
1958-055,0,0
1958-056,0,0
1958-057,0,0
1958-058,0,0
1958-059,0,0
1958-060,0,0
1958-061,0,0
1958-062,0,0
1958-063,0,0
1958-064,0,0
1958-065,1,0
1958-066,0,0
1958-067,0,0
1958-068,1,0
1958-069,0,0
1958-070,0,0
1958-071,0,0
1958-072,0,0
1958-073,1,0
1958-074,0,0
1958-075,0,0
1958-076,0,0
1958-077,0,0
1958-078,0,0
1958-079,0,0
1958-080,0,0
1958-081,0,0
1958-082,0,0
1958-083,0,0
1958-084,1,0
1958-085,0,0
1958-086,0,0
1958-087,0,0
1958-088,1,0
1958-089,0,0
1958-090,0,0
1958-091,0,0
1958-092,0,0
1958-093,0,0
1958-094,0,0
1958-095,0,0
1958-096,0,0
1958-097,0,0
1958-098,0,0
1958-099,0,1
1958-100,0,0
1958-101,1,0
1958-102,1,1
1958-103,0,0
1958-104,0,0
1958-105,0,0
1958-106,0,0
1958-107,0,0
1958-108,0,0
1958-109,0,0
1958-110,0,0
1958-111,0,0
1958-112,0,0
1958-113,1,0
1958-114,0,0
1958-115,0,0
1958-116,0,0
1958-117,0,0
1958-118,0,0
1958-119,1,0
1958-120,0,0
1958-121,0,0
1958-122,0,0
1958-123,0,0
1958-124,0,0
1958-125,0,0
1958-126,0,0
1958-127,1,0
1958-128,0,0
1958-129,0,0
1958-130,0,0
1958-131,0,0
1958-132,0,0
1958-133,0,0
1958-134,0,0
1958-135,1,0
1958-136,0,0
1958-137,0,0
1958-138,0,0
1959-001,0,0
1959-002,0,0
1959-003,1,0
1959-004,0,0
1959-005,0,0
1959-006,0,0
1959-007,0,0
1959-008,0,0
1959-009,0,0
1959-010,0,0
1959-011,0,0
1959-012,0,0
1959-013,1,0
1959-014,0,0
1959-015,0,0
1959-016,0,0
1959-017,0,0
1959-018,0,0
1959-019,0,0
1959-020,1,0
1959-021,1,0
1959-022,1,0
1959-023,0,0
1959-024,0,0
1959-025,0,0
1959-026,0,0
1959-027,0,0
1959-028,0,0
1959-029,0,0
1959-030,0,0
1959-031,0,0
1959-032,0,0
1959-033,0,0
1959-034,0,0
1959-035,0,0
1959-036,0,0
1959-037,1,0
1959-038,0,0
1959-039,1,0
1959-040,1,0
1959-041,1,0
1959-042,1,0
1959-043,1,0
1959-044,0,0
1959-045,1,0
1959-046,0,0
1959-047,0,0
1959-048,1,0
1959-049,0,0
1959-050,0,0
1959-051,0,0
1959-052,0,0
1959-053,0,0
1959-054,0,0
